Strike,Date,Tribal Agency,Country,Location,Full Address,Latitude,Longitude,Time Period,Minimum All Targets,Maximum All Targets,Minimum Domestic Buildings,Maximum Domestic Buildings,Minimum Religious Buildings,Maximum Religious Buildings,Minimum Other Buildings,Maximum Other Buildings,Minimum vehicles,Maximum vehicles,Strucutral Damage,Minimum Number of Missiles Reported Fired,Maximum Number of Missiles Reported Fired,Minimum Total Reported Killed,Maximum Total Reported Killed,Minimum Civilians Reported Killed,Maximum Civilians Reported Killed,Minimum Children Reported Killed,Maximum Children Reported Killed,Minimum Injured,Maximum Injured
Ob222,20/06/2011,Kurram,India,Khardand,India Khardand,27.9034175,84.3630695,Morning,1,1,0,0,0,0,0,0,1,1,-,2,3,5,7,2,7,0,0,0,3
Ob155,3/11/2010,NWA,Pakistan,Khaso Khel,Pakistan Khaso Khel,24.9394559,68.5293728,Evening,1,2,0,1,0,0,0,0,1,1,-,2,3,4,5,0,0,0,0,0,0
Ob239,11/9/2011,NWA,Pakistan,Khaso Khel,Pakistan Khaso Khel,24.9394559,68.5293728,Evening,0,2,0,1,0,0,0,0,0,1,4,2,2,1,5,0,0,0,0,1,3
B12,29/01/2008,NWA,Pakistan,Khushali,Pakistan Khushali,32.9387751,70.2482734,Night,2,2,2,2,0,0,0,0,0,0,4,Unreported,Unreported,12,15,4,6,2,3,1,2
B29,30/09/2008,NWA,Pakistan,Khushali,Pakistan Khushali,32.9387751,70.2482734,Night,1,1,1,1,0,0,0,0,0,0,-,1,4,4,8,0,0,0,0,5,9
Ob35,14/09/2009,NWA,Pakistan,Khushali,Pakistan Khushali,32.9387751,70.2482734,Night or morning,0,1,0,0,0,0,0,0,0,1,-,Unreported,Unreported,5,5,0,0,0,0,2,3
Ob88,26/04/2010,NWA,Pakistan,Khushali,Pakistan Khushali,32.9387751,70.2482734,Morning,0,2,0,1,0,1,0,0,0,0,-,3,3,3,8,0,0,0,0,3,3
Ob99,26/06/2010,NWA,Pakistan,Khushali,Pakistan Khushali,32.9387751,70.2482734,Night or morning,1,2,1,2,0,0,0,0,0,0,4,1,2,2,4,0,0,0,0,1,3
Ob135,27/09/2010,NWA,Pakistan,Khushali,Pakistan Khushali,32.9387751,70.2482734,Afternoon,1,1,1,1,0,0,0,0,0,0,4,2,3,3,4,0,0,0,0,0,0
Ob167,6/12/2010,NWA,Pakistan,Khushali,Pakistan Khushali,32.9387751,70.2482734,Evening,1,3,0,1,0,0,0,1,1,1,-,2,4,3,5,0,2,0,0,3,3
